"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Knowledge of languages","          Atikamekw",,    6640,,    3335,,    3305,,    6640,,    3335,,    3305,
"Knowledge of languages","          Montagnais (Innu)",,   11440,,    5500,,    5945,,   11440,,    5500,,    5945,
"Knowledge of languages","          Moose Cree",,     195,,      80,,     115,,     195,,      80,,     115,
"Knowledge of languages","          Naskapi",,    1465,,     710,,     755,,    1465,,     710,,     755,
"Knowledge of languages","          Northern East Cree",,     545,,     225,,     320,,     545,,     225,,     320,
"Knowledge of languages","          Plains Cree",,    5905,,    2705,,    3200,,    5905,,    2705,,    3200,
"Knowledge of languages","          Southern East Cree",,      40,,      30,,      10,,      40,,      30,,      10,
"Knowledge of languages","          Swampy Cree",,    2345,,     995,,    1350,,    2345,,     995,,    1350,
"Knowledge of languages","          Woods Cree",,    2665,,    1230,,    1435,,    2665,,    1230,,    1435,
"Knowledge of languages","          Cree; n.o.s.",,   86115,,   42080,,   44035,,   86115,,   42080,,   44035,
"Knowledge of languages","        Eastern Algonquian languages",,    9765,,    4710,,    5050,,    9765,,    4710,,    5050,
"Knowledge of languages","          Malecite",,     755,,     370,,     390,,     755,,     370,,     390,
"Knowledge of languages","          Mi'kmaq",,    9025,,    4350,,    4670,,    9025,,    4350,,    4670,
"Knowledge of languages","        Ojibway-Potawatomi languages",,   46685,,   22100,,   24585,,   46685,,   22100,,   24585,
"Knowledge of languages","          Algonquin",,    2480,,    1165,,    1315,,    2480,,    1165,,    1315,
"Knowledge of languages","          Ojibway",,   28585,,   13365,,   15220,,   28585,,   13365,,   15220,
"Knowledge of languages","          Oji-Cree",,   15610,,    7575,,    8030,,   15610,,    7575,,    8030,
"Knowledge of languages","          Ottawa (Odawa)",,     205,,     105,,     105,,     205,,     105,,     105,
"Knowledge of languages","        Algonquian languages; n.i.e.",,     120,,      60,,      60,,     120,,      60,,      60,
"Knowledge of languages","      Athabaskan languages",,   23655,,   11340,,   12320,,   23655,,   11340,,   12320,
"Knowledge of languages","        Northern Athabaskan languages",,   23570,,   11300,,   12265,,   23570,,   11300,,   12265,
"Knowledge of languages","          Babine (Wetsuwet'en)",,     210,,     105,,     100,,     210,,     105,,     100,
"Knowledge of languages","          Beaver",,     340,,     180,,     165,,     340,,     180,,     165,
"Knowledge of languages","          Carrier",,    2105,,     955,,    1145,,    2105,,     955,,    1145,
"Knowledge of languages","          Chilcotin",,    1150,,     535,,     610,,    1150,,     535,,     610,
"Knowledge of languages","          Dene",,   13060,,    6270,,    6790,,   13060,,    6270,,    6790,
"Knowledge of languages","          Dogrib (Tlicho)",,    2375,,    1210,,    1165,,    2375,,    1210,,    1165,
"Knowledge of languages","          Gwich'in",,     360,,     165,,     200,,     360,,     165,,     200,
"Knowledge of languages","          Sarsi (Sarcee)",,     150,,      60,,      90,,     150,,      60,,      90,
"Knowledge of languages","          Sekani",,     185,,      85,,     100,,     185,,      85,,     100,
"Knowledge of languages","          Slavey-Hare languages",,    2815,,    1340,,    1475,,    2815,,    1340,,    1475,
"Knowledge of languages","            North Slavey (Hare)",,    1010,,     475,,     530,,    1010,,     475,,     530,
"Knowledge of languages","            South Slavey",,    1365,,     660,,     710,,    1365,,     660,,     710,
"Knowledge of languages","            Slavey; n.o.s.",,     680,,     320,,     360,,     680,,     320,,     360,
"Knowledge of languages","          Tahltan languages",,     630,,     340,,     285,,     630,,     340,,     285,
"Knowledge of languages","            Kaska (Nahani)",,     365,,     205,,     170,,     365,,     205,,     170,
"Knowledge of languages","            Tahltan",,     270,,     140,,     130,,     270,,     140,,     130,
"Knowledge of languages","          Tutchone languages",,     420,,     160,,     260,,     420,,     160,,     260,
"Knowledge of languages","            Northern Tutchone",,     285,,     115,,     170,,     285,,     115,,     170,
"Knowledge of languages","            Southern Tutchone",,     145,,      50,,      95,,     145,,      50,,      95,
"Knowledge of languages","        Athabaskan languages; n.i.e.",,      85,,      35,,      50,,      85,,      35,,      50,
"Knowledge of languages","      Haida",,     465,,     205,,     260,,     465,,     205,,     260,
"Knowledge of languages","      Inuit languages",,   42980,,   21355,,   21630,,   42980,,   21355,,   21630,
"Knowledge of languages","        Inuinnaqtun (Inuvialuktun)",,    1975,,     895,,    1080,,    1975,,     895,,    1080,
"Knowledge of languages","        Inuktitut",,   40620,,   20280,,   20340,,   40620,,   20280,,   20340,
"Knowledge of languages","        Inuit languages; n.i.e.",,     470,,     225,,     240,,     470,,     225,,     240,
"Knowledge of languages","      Iroquoian languages",,    2800,,    1240,,    1555,,    2800,,    1240,,    1555,
"Knowledge of languages","        Cayuga",,     125,,      40,,      85,,     125,,      40,,      85,
"Knowledge of languages","        Mohawk",,    2415,,    1120,,    1295,,    2415,,    1120,,    1295,
"Knowledge of languages","        Oneida",,     180,,      60,,     125,,     180,,      60,,     125,
"Knowledge of languages","        Iroquoian languages; n.i.e.",,     115,,      45,,      75,,     115,,      45,,      75,
"Knowledge of languages","      Kutenai",,     175,,      95,,      80,,     175,,      95,,      80,
"Knowledge of languages","      Michif",,    1210,,     585,,     625,,    1210,,     585,,     625,
"Knowledge of languages","      Salish languages",,    5750,,    2730,,    3015,,    5750,,    2730,,    3015,
"Knowledge of languages","        Comox",,     185,,      75,,     110,,     185,,      75,,     110,
"Knowledge of languages","        Halkomelem",,    1060,,     475,,     585,,    1060,,     475,,     585,
"Knowledge of languages","        Lillooet",,     790,,     405,,     385,,     790,,     405,,     385,
"Knowledge of languages","        Okanagan",,     820,,     370,,     450,,     820,,     370,,     450,
"Knowledge of languages","        Shuswap (Secwepemctsin)",,    1305,,     640,,     665,,    1305,,     640,,     665,
"Knowledge of languages","        Squamish",,     285,,     125,,     155,,     285,,     125,,     155,
"Knowledge of languages","        Straits",,     360,,     160,,     200,,     360,,     160,,     200,
"Knowledge of languages","        Thompson (Ntlakapamux)",,     450,,     220,,     235,,     450,,     220,,     235,
"Knowledge of languages","        Salish languages; n.i.e.",,     565,,     295,,     270,,     565,,     295,,     270,
"Knowledge of languages","      Siouan languages",,    5430,,    2665,,    2770,,    5430,,    2665,,    2770,
"Knowledge of languages","        Dakota",,    1760,,     870,,     890,,    1760,,     870,,     890,
"Knowledge of languages","        Stoney",,    3675,,    1805,,    1875,,    3675,,    1805,,    1875,
"Knowledge of languages","        Siouan languages; n.i.e.",,     140,,      70,,      70,,     140,,      70,,      70,
"Knowledge of languages","      Tlingit",,     260,,     140,,     120,,     260,,     140,,     120,
"Knowledge of languages","      Tsimshian languages",,    2730,,    1350,,    1380,,    2730,,    1350,,    1380,
"Knowledge of languages","        Gitxsan (Gitksan)",,    1305,,     645,,     660,,    1305,,     645,,     660,
"Knowledge of languages","        Nisga'a",,    1060,,     545,,     515,,    1060,,     545,,     515,
"Knowledge of languages","        Tsimshian",,     410,,     180,,     235,,     410,,     180,,     235,
"Knowledge of languages","      Wakashan languages",,    1490,,     680,,     805,,    1490,,     680,,     805,
"Knowledge of languages","        Haisla",,     175,,      65,,     110,,     175,,      65,,     110,
"Knowledge of languages","        Heiltsuk",,     125,,      50,,      75,,     125,,      50,,      75,
"Knowledge of languages","        Kwakiutl (Kwak'wala)",,     605,,     285,,     320,,     605,,     285,,     320,
"Knowledge of languages","        Nuu-chah-nulth (Nootka)",,     565,,     265,,     300,,     565,,     265,,     300,
"Knowledge of languages","        Wakashan languages; n.i.e.",,      30,,      20,,      10,,      30,,      20,,      10,
"Knowledge of languages","      Aboriginal languages; n.o.s.",,     665,,     310,,     360,,     665,,     310,,     360,
"Knowledge of languages","    Non-Aboriginal languages",, 9107075,, 4361420,, 4745660,, 9107075,, 4361420,, 4745660,
"Knowledge of languages","      Afro-Asiatic languages",,  837355,,  432560,,  404795,,  837355,,  432560,,  404795,
"Knowledge of languages","        Berber languages",,   29460,,   15745,,   13715,,   29460,,   15745,,   13715,
"Knowledge of languages","          Kabyle",,   17120,,    9100,,    8015,,   17120,,    9100,,    8015,
"Knowledge of languages","          Berber languages; n.i.e.",,   12505,,    6735,,    5775,,   12505,,    6735,,    5775,
"Knowledge of languages","        Cushitic languages",,   57125,,   26870,,   30250,,   57125,,   26870,,   30250,
"Knowledge of languages","          Bilen",,    1085,,     625,,     470,,    1085,,     625,,     470,
"Knowledge of languages","          Oromo",,    6245,,    3070,,    3175,,    6245,,    3070,,    3175,
"Knowledge of languages","          Somali",,   49665,,   23070,,   26590,,   49665,,   23070,,   26590,
"Knowledge of languages","          Cushitic languages; n.i.e.",,     480,,     220,,     265,,     480,,     220,,     265,
"Knowledge of languages","        Semitic languages",,  771130,,  400780,,  370350,,  771130,,  400780,,  370350,
"Knowledge of languages","          Amharic",,   33670,,   16675,,   16995,,   33670,,   16675,,   16995,
"Knowledge of languages","          Arabic",,  629055,,  329235,,  299820,,  629055,,  329235,,  299820,
"Knowledge of languages","          Assyrian Neo-Aramaic",,   19745,,    9720,,   10020,,   19745,,    9720,,   10020,
"Knowledge of languages","          Chaldean Neo-Aramaic",,    7115,,    3505,,    3610,,    7115,,    3505,,    3610,
"Knowledge of languages","          Harari",,    1710,,     855,,     860,,    1710,,     855,,     860,
"Knowledge of languages","          Hebrew",,   75020,,   38730,,   36290,,   75020,,   38730,,   36290,
"Knowledge of languages","          Maltese",,    7625,,    3760,,    3870,,    7625,,    3760,,    3870,
"Knowledge of languages","          Tigrigna",,   21340,,   10640,,   10705,,   21340,,   10640,,   10705,
"Knowledge of languages","          Semitic languages; n.i.e.",,    3220,,    1655,,    1565,,    3220,,    1655,,    1565,
"Knowledge of languages","        Afro-Asiatic languages; n.i.e.",,    2775,,    1440,,    1335,,    2775,,    1440,,    1335,
"Knowledge of languages","      Austro-Asiatic languages",,  224865,,  105845,,  119020,,  224865,,  105845,,  119020,
"Knowledge of languages","        Khmer (Cambodian)",,   27035,,   12640,,   14400,,   27035,,   12640,,   14400,
"Knowledge of languages","        Vietnamese",,  198895,,   93735,,  105155,,  198895,,   93735,,  105155,
"Knowledge of languages","        Austro-Asiatic languages; n.i.e.",,     190,,      70,,     120,,     190,,      70,,     120,
"Knowledge of languages","      Austronesian languages",,  656200,,  273075,,  383125,,  656200,,  273075,,  383125,
"Knowledge of languages","        Bikol",,    2075,,     885,,    1190,,    2075,,     885,,    1190,
"Knowledge of languages","        Cebuano",,   27045,,   10960,,   16085,,   27045,,   10960,,   16085,
"Knowledge of languages","        Fijian",,    1660,,     955,,     705,,    1660,,     955,,     705,
"Knowledge of languages","        Hiligaynon",,    7925,,    3200,,    4720,,    7925,,    3200,,    4720,
